claim_id,subject,claim,source_id,evidence,confidence,used_in_scoring,public,notes
C021,"ПроФасовка","Приемка включает пересчет и проверку товара на дефекты",S016,"Прямое описание входного процесса","HIGH",TRUE,TRUE,""
C022,"Нитропак","Есть отдельная услуга для бытовой химии и жидкостей с защитой от протечек",S018,"Жидкости, термоусадка, обмотка","HIGH",TRUE,TRUE,""
C023,"Нитропак","Подтверждены WMS и отгрузки Wildberries/Ozon",S018,"WMS и FBO","HIGH",TRUE,TRUE,""
C024,"Нитропак","Опубликован прайс на приемку, упаковку, хранение и логистику",S019,"Открытый прайс","HIGH",TRUE,TRUE,""
C025,"Родной Дом","Есть отдельная услуга фулфилмента бытовой и автохимии",S020,"Профиль жидкой химии","HIGH",TRUE,TRUE,""
C026,"Родной Дом","Описаны термоусадка, ВПП, герметичный пакет и контроль протечек",S020,"Профильные упаковочные операции","HIGH",TRUE,TRUE,""
C027,"Родной Дом","Подтверждены Wildberries, Ozon, FBO и FBS",S020,"Полный цикл маркетплейсов","HIGH",TRUE,TRUE,""
C028,"FullMark","Для косметики и бытовой химии заявлена проверка герметичности и защита от протечек",S022,"Категорийный контроль","HIGH",TRUE,TRUE,""
C029,"FullMark","Подтверждены WB, Ozon, маркировка и полный цикл поставки",S022,"Фулфилмент под ключ","HIGH",TRUE,TRUE,""
C030,"LogixPRO","Склады работают под управлением WMS Manhattan SCALE",S023,"WMS Manhattan SCALE","HIGH",TRUE,TRUE,""
C031,"LogixPRO","Подтверждены адресное и паллетное хранение, комплектация и упаковка",S023,"Складской цикл","HIGH",TRUE,TRUE,""
C032,"LogixPRO","На площадке Южные Врата опубликован полный цикл фулфилмента и измеримые тарифы",S024,"Полный цикл и прайс","HIGH",TRUE,TRUE,""
C033,"FullBox","Подтверждены WMS, WB/Ozon, маркировка и Честный знак",S025,"Полный цикл","HIGH",TRUE,TRUE,""
C034,"FullBox","Склад использует вакуумную и термоусадочную линию до 7 000 упаковок в день",S026,"Оборудование и мощность","HIGH",TRUE,TRUE,""
C035,"WBBK","Подтверждены WMS, косметика, FBO/FBS/DBS и контроль товара",S027,"Смежная жидкая категория","HIGH",TRUE,TRUE,""
C036,"WBBK","Подтверждена подготовка FBO на Wildberries, Ozon и Яндекс Маркет",S028,"Приемка, маркировка, упаковка","HIGH",TRUE,TRUE,""
C037,"9Gramm","Прайс содержит ВПП, пупырчатые пакеты, термоусадку и визуальную проверку брака",S029,"Открытый перечень операций","HIGH",TRUE,TRUE,""
C038,"9Gramm","Подтверждены регулярные доставки на склады Wildberries и Ozon",S030,"Маркетплейсы и график","HIGH",TRUE,TRUE,""
C039,"UpMarket","Компания подтверждает ВПП/термоусадку и прямо указывает, что не работает с лакокрасочными покрытиями",S031,"Сильная упаковка, прямое категорийное ограничение","HIGH",TRUE,TRUE,""
C040,"ТехСкладЛогистик","Подтверждены FBS, упаковка по стандартам маркетплейсов и Честный знак",S033,"Складской процесс","HIGH",TRUE,TRUE,""
C041,"FulFillYou","Подтверждены 100 000+ ед./день, 40 000+ паллетомест и автоматизированная IT-платформа",S034,"Масштаб и технология","HIGH",TRUE,TRUE,""
C042,"Методика","Wildberries отдельно регламентирует упаковку жидкостей, клеев, красок и химии",S037,"Официальная инструкция маркетплейса","HIGH",FALSE,TRUE,"Контекст для выбора критериев"
